Country,Sales
United States,2297200.8603
Australia,925235.853
France,858931.083
China,700562.025
Germany,628840.0305
Mexico,622590.61752
India,589650.105
United Kingdom,528576.3
Indonesia,404887.4979
Brazil,361106.41896
Italy,289709.658
Spain,287146.68
Philippines,183420.165
El Salvador,177554.9032
New Zealand,172020.624
Cuba,158854.93548
Nicaragua,149687.06456
Guatemala,131602.46676
Dominican Republic,126140.58128
Iran,113746.11
Turkey,108507.948
Japan,100787.517
South Africa,95292.27
Austria,92539.05
Honduras,90125.6486
Democratic Republic of the Congo,87416.58
Morocco,87077.94
Ukraine,86857.17
Egypt,84139.32
Russia,82913.88
Saudi Arabia,82012.2
Colombia,81502.52976
Bangladesh,78256.47
Netherlands,77514.945
Thailand,77051.955
Iraq,70714.8
Canada,66928.17
Vietnam,65800.1994
Malaysia,61362.21
Pakistan,58872.612
Argentina,57511.78328
Nigeria,54350.352
Panama,51539.92752
Belgium,49226.7
Poland,44228.85
Singapore,40286.25
Romania,37256.58
Algeria,36091.590000000004
Chile,35447.07072
Myanmar (Burma),34138.8717
South Korea,33125.379
Sweden,30491.403
Senegal,28848.9
Tanzania,26816.139
Venezuela,26587.82956
Zambia,26035.5
Cote d'Ivoire,25618.17
Angola,25554.0
Switzerland,24877.86
Ghana,23272.26
Cameroon,22349.37
Afghanistan,21673.32
Mozambique,21302.88
Finland,20704.35
Norway,20525.37
Israel,19294.079999999998
Peru,17833.18372
Kenya,17573.13
Cambodia,17476.02
Ireland,16639.509
Sudan,16338.57
Bulgaria,15557.64
Portugal,15105.119999999999
Hungary,14254.050000000001
Belarus,13386.09
Ecuador,13342.98036
Madagascar,12617.55
Bolivia,11588.97
Haiti,11038.329
Uruguay,9712.544
Czech Republic,9573.93
Mali,8914.47
Denmark,8638.053
Somalia,8185.05
Libya,7808.4
Taiwan,7647.63
Uzbekistan,7329.87
Jordan,7326.15
Barbados,7174.27392
Niger,6922.98
Trinidad and Tobago,6881.16448
Mongolia,6789.84
Jamaica,6761.78584
Lithuania,6724.331999999999
Lesotho,6711.99
Benin,6212.07
Hong Kong,6147.0
Qatar,6049.8
Martinique,5968.15104
Azerbaijan,5631.51
Georgia,5427.42
Syria,5310.63
Rwanda,5194.08
Moldova,5139.93
Kyrgyzstan,5106.3
Kazakhstan,4605.444
Estonia,4479.84
Croatia,4461.18
Togo,4146.42
Mauritania,4020.9300000000003
Montenegro,4004.37
Albania,3888.12
Zimbabwe,3765.105
Liberia,3560.88
Nepal,3522.24
Guinea,3498.27
Papua New Guinea,2928.135
Namibia,2899.47
Lebanon,2796.66
Republic of the Congo,2713.23
Bosnia and Herzegovina,2599.26
Paraguay,2590.3675200000002
Yemen,2465.712
Sierra Leone,2447.67
Djibouti,2392.95
Central African Republic,2377.56
Guinea-Bissau,2065.44
Turkmenistan,2027.061
Tunisia,1760.79
Gabon,1751.73
Uganda,1621.935
Slovenia,1469.94
Guadeloupe,1461.64
Chad,1317.03
South Sudan,1045.6200000000001
Slovakia,865.3199999999999
Sri Lanka,851.8199999999999
Ethiopia,850.62
United Arab Emirates,744.12
Bahrain,669.18
Swaziland,288.03000000000003
Burundi,267.72
Tajikistan,242.784
Macedonia,209.64
Eritrea,187.73999999999998
Armenia,156.75
Equatorial Guinea,150.51
